month_id,year,country_id,country_name,decay_12_cw_ged_dummy_sb_0,decay_12_cw_ged_dummy_ns_0,decay_12_cw_ged_dummy_os_0,l1_ged_dummy_sb,l2_ged_dummy_sb,l3_ged_dummy_sb,l4_ged_dummy_sb,l5_ged_dummy_sb,l6_ged_dummy_sb,l12_ged_dummy_sb,l1_ged_dummy_ns,l2_ged_dummy_ns,l3_ged_dummy_ns,l4_ged_dummy_ns,l5_ged_dummy_ns,l6_ged_dummy_ns,l12_ged_dummy_ns,l1_ged_dummy_os,l2_ged_dummy_os,l3_ged_dummy_os,l4_ged_dummy_os,l5_ged_dummy_os,l6_ged_dummy_os,l12_ged_dummy_os,ln_fvp_population200,ssp2_edu_sec_15_24_prop,ssp2_urban_share_iiasa,fvp_lngdpcap_nonoilrent,fvp_lngdpcap_nonoilrent,fvp_grgdpcap_nonoilrent,fvp_grgdpcap_oilrent,fvp_demo,ln_fvp_timeindep,ln_fvp_timesincepreindepwar,ln_fvp_timesinceregimechange,decay_12_cw_acled_dummy_pr_0,l1_acled_dummy_pr,l2_acled_dummy_pr,l3_acled_dummy_pr,l4_acled_dummy_pr,l5_acled_dummy_pr,l6_acled_dummy_pr,l12_acled_dummy_pr
241,2000,80,Sao Tome and Principe,0.0009217522584782159,0.0009217522584782159,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785198402463437,0.431338693965644,59.2856672595634,9.65043833267206,9.65043833267206,0.0837463884994489,-0.0677506109031907,0.523448147097072,4.720438919871909,4.404917991097091,3.61273406421776,0.0009217522584782159,0,0,0,0,0,0,0
241,2000,81,Togo,0.0009217522584782159,0.0032847516220848223,0.47193715634084676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.511450131573085,0.4563504,60.1936818880481,7.1530441,7.1530441,-0.03737397,0,0,3.713572066704308,4.341853518255979,2.3978952727983707,0.5946035575013605,0,0,0,0,0,0,0
241,2000,120,Somalia,0.6674199270850172,0.8408964152537145,0.7491535384383408,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,9.106365451493403,0.1883463,39.2596536705446,8.0275684,8.0275684,-0.01420525,0,0,3.713572066704308,4.574710978503383,3.4657359027997265,0.0009217522584782159,0,0,0,0,0,0,0
241,2000,154,Botswana,0.0009217522584782159,0.0009217522584782159,0.0011613350732448448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45549511181091,0.67106374,59.9008488017578,9.2506857,9.2506857,0.00306736,0,1,3.5553480614894135,4.4751509210123945,3.58351893845611,0.29730177875068026,0,0,0,0,0,0,0
241,2000,155,Burundi,0.9438743126816935,0.1767766952966369,0.9438743126816935,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8.764319796326292,0.0914216,20.1959124068285,6.6268453,6.6268453,-0.02777636,0,0,3.6635616461296463,4.553876891600541,2.3978952727983707,0.3535533905932738,0,0,0,0,0,0,0
241,2000,156,Rwanda,0.44544935907016964,0.0009217522584782159,0.9438743126816935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.990529137322476,0.05695739,17.3499181484999,6.6675705,6.6675705,0.02484132,0,0,3.6635616461296463,4.553876891600541,1.9459101490553132,0.8908987181403393,0,1,0,0,1,1,0
241,2000,157,Zambia,0.0009217522584782159,0.0009217522584782159,0.009843133202303695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.262194504064865,0.24788958,35.1967312110947,7.6515876,7.6515876,0.01015751,0,1,3.6109179126442243,4.769850415865804,2.3978952727983707,0.9438743126816935,1,0,0,0,0,0,1
241,2000,158,Zimbabwe,0.0009217522584782159,0.0009217522584782159,0.5612310241546865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.411095236623282,0.67106374,41.2404425417244,7.852283,7.852283,-0.04404066,0,0,3.58351893845611,4.663439094112067,3.58351893845611,0.9438743126816935,1,1,1,1,0,1,1
241,2000,159,Comoros,0.19842513149602492,0.47193715634084676,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.297766562466273,0.10937162,36.6023390106192,7.3010923,7.3010923,0.07771241,0,0,3.258096538021482,4.815376101927237,2.4849066497880004,0.0009217522584782159,0,0,0,0,0,0,0
241,2000,160,Lesotho,0.3968502629920499,0.0009217522584782159,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.533532734325923,0.26330964,27.1947381287544,7.4860358,7.4860358,0.02823526,0,0,3.5553480614894135,4.787491742782046,1.0986122886681098,0.6299605249474366,0,0,0,0,0,0,0
